"Time, GMT-04:00",Date,Time,Pulaski,Sombrero,Molasses,Fowey
01/04/2010 00:30,1/4/2010,00:30,22.13,22.753,23.304,22.776
01/04/2010 00:45,1/4/2010,00:45,22.178,22.776,23.304,22.753
01/04/2010 01:00,1/4/2010,01:00,22.226,22.824,23.304,22.705
01/04/2010 01:15,1/4/2010,01:15,22.25,22.824,23.28,22.657
01/04/2010 01:30,1/4/2010,01:30,22.274,22.8,23.232,22.633
01/04/2010 01:45,1/4/2010,01:45,22.274,22.753,23.232,22.609
01/04/2010 02:00,1/4/2010,02:00,22.226,22.8,23.232,22.585
01/04/2010 02:15,1/4/2010,02:15,22.154,22.8,23.208,22.537
01/04/2010 02:30,1/4/2010,02:30,22.178,22.776,23.184,22.321
01/04/2010 02:45,1/4/2010,02:45,22.226,22.561,23.16,22.13
01/04/2010 03:00,1/4/2010,03:00,22.25,22.705,23.136,21.939
01/04/2010 03:15,1/4/2010,03:15,22.25,22.585,23.112,21.939
01/04/2010 03:30,1/4/2010,03:30,22.25,22.657,23.112,21.915
01/04/2010 03:45,1/4/2010,03:45,22.25,22.585,23.112,21.867
01/04/2010 04:00,1/4/2010,04:00,22.25,22.321,23.112,21.795
01/04/2010 04:15,1/4/2010,04:15,22.25,22.082,23.112,21.151
01/04/2010 04:30,1/4/2010,04:30,22.25,21.819,23.112,20.579
01/04/2010 04:45,1/4/2010,04:45,22.274,21.676,23.112,20.793
01/04/2010 05:00,1/4/2010,05:00,22.25,21.581,23.088,21.008
01/04/2010 05:15,1/4/2010,05:15,22.274,21.39,23.064,21.127
01/04/2010 05:30,1/4/2010,05:30,22.298,21.199,23.04,21.223
01/04/2010 05:45,1/4/2010,05:45,22.298,21.008,23.064,21.246
01/04/2010 06:00,1/4/2010,06:00,22.298,20.936,23.112,21.342
01/04/2010 06:15,1/4/2010,06:15,22.298,20.817,23.112,21.413
01/04/2010 06:30,1/4/2010,06:30,22.298,20.746,23.112,21.294
01/04/2010 06:45,1/4/2010,06:45,22.298,20.722,23.112,21.27
01/04/2010 07:00,1/4/2010,07:00,22.321,20.746,23.112,21.223
01/04/2010 07:15,1/4/2010,07:15,22.345,20.698,23.136,21.223
01/04/2010 07:30,1/4/2010,07:30,22.345,20.698,23.16,21.246
01/04/2010 07:45,1/4/2010,07:45,22.345,20.674,23.136,21.366
01/04/2010 08:00,1/4/2010,08:00,22.345,20.674,23.16,21.724
01/04/2010 08:15,1/4/2010,08:15,22.345,20.65,23.16,21.963
01/04/2010 08:30,1/4/2010,08:30,22.321,20.65,23.16,22.274
01/04/2010 08:45,1/4/2010,08:45,22.298,20.627,23.136,22.465
01/04/2010 09:00,1/4/2010,09:00,22.274,21.175,23.16,22.561
01/04/2010 09:15,1/4/2010,09:15,22.202,21.366,23.16,22.561
01/04/2010 09:30,1/4/2010,09:30,22.154,21.7,23.16,22.537
01/04/2010 09:45,1/4/2010,09:45,22.106,22.25,23.16,22.92
01/04/2010 10:00,1/4/2010,10:00,22.011,22.417,23.16,23.256
01/04/2010 10:15,1/4/2010,10:15,22.011,22.8,23.136,23.28
01/04/2010 10:30,1/4/2010,10:30,22.034,22.561,23.136,23.28
01/04/2010 10:45,1/4/2010,10:45,22.034,22.968,23.16,23.352
01/04/2010 11:00,1/4/2010,11:00,22.058,23.016,23.136,23.376
01/04/2010 11:15,1/4/2010,11:15,22.082,23.16,23.136,23.352
01/04/2010 11:30,1/4/2010,11:30,22.154,23.16,23.136,23.28
01/04/2010 11:45,1/4/2010,11:45,22.202,23.28,23.136,23.256
01/04/2010 12:00,1/4/2010,12:00,22.25,23.328,23.112,23.28
01/04/2010 12:15,1/4/2010,12:15,22.274,23.28,23.112,23.304
01/04/2010 12:30,1/4/2010,12:30,22.298,23.304,23.112,23.352
01/04/2010 12:45,1/4/2010,12:45,22.345,22.968,23.064,23.4
01/04/2010 13:00,1/4/2010,13:00,22.345,22.824,23.088,23.424
01/04/2010 13:15,1/4/2010,13:15,22.369,22.92,23.088,23.376
01/04/2010 13:30,1/4/2010,13:30,22.369,22.92,23.088,23.184
01/04/2010 13:45,1/4/2010,13:45,22.369,22.968,23.088,23.184
01/04/2010 14:00,1/4/2010,14:00,22.369,23.232,23.088,23.088
01/04/2010 14:15,1/4/2010,14:15,22.369,23.28,23.088,23.088
01/04/2010 14:30,1/4/2010,14:30,22.226,23.256,23.088,23.136
01/04/2010 14:45,1/4/2010,14:45,22.154,23.16,23.112,23.064
01/04/2010 15:00,1/4/2010,15:00,22.178,22.896,23.064,23.016
01/04/2010 15:15,1/4/2010,15:15,22.106,22.753,22.92,22.968
01/04/2010 15:30,1/4/2010,15:30,21.987,22.609,22.585,22.944
01/04/2010 15:45,1/4/2010,15:45,22.011,22.417,21.915,22.848
01/04/2010 16:00,1/4/2010,16:00,22.034,22.274,21.557,22.896
01/04/2010 16:15,1/4/2010,16:15,22.058,22.178,21.342,22.92
01/04/2010 16:30,1/4/2010,16:30,22.082,22.13,21.151,22.824
01/04/2010 16:45,1/4/2010,16:45,22.154,21.915,20.984,22.729
01/04/2010 17:00,1/4/2010,17:00,22.226,21.724,20.865,22.609
01/04/2010 17:15,1/4/2010,17:15,22.25,21.533,20.746,22.465
01/04/2010 17:30,1/4/2010,17:30,22.298,21.509,20.579,22.441
01/04/2010 17:45,1/4/2010,17:45,22.321,21.533,20.484,22.417
01/04/2010 18:00,1/4/2010,18:00,22.321,21.533,21.079,22.417
01/04/2010 18:15,1/4/2010,18:15,22.321,21.581,21.724,22.393
01/04/2010 18:30,1/4/2010,18:30,22.298,21.581,22.561,22.345
